aladna,alten
abcwoude,abcoude
ackrom,akkrum	
almelo,almelo
aldenselen,oldenzaal	
amersfoirde,amersfoort
amerungon,amerongen
aneschedhe,enschede
apell,ter apel
appengadomme,appingedam
aemstelreveen,amstelveen
amstelredam,amsterdam
amsteldam,amsterdam
aemstelledamme,amsterdam
aemstelredamme,amsterdam
appoldro,apeldoorn
arneym,arnhem
ascen,assen
axla,axel
baambrugge,bambrug
baerne,baarn
baerlant,baarland
berlichem,berlikum
betflon,baflo
benlo,bentelo
bertaing,boertange
bierflitha,biervliet
billinghewolde,bellingwolde
boer, Ten Boer
brida,breda
breidervort,bredevoort
breevoor,bredevoort
butapost,buitenpost
cadesand,cadzand
cadsant,cazdand
campen,kampen
campis,kampen
canteze,kantens
cassele,kessel
colouuidum,koudum
crepeswalda,kropswolde
cruoninga,groningen
cattenbroecke,cattenbroek
cothen,cothen
cornwurth,cornwerd
coernwaerd,cornwerd
ceuclum,cuijk
ceudiaco,cuijk
cuich,cuijk
cuoorde,coevorden
colleheim,kollum
coriovallum,heerlen
cruoninga,groningen
dalsen,dalfsen
delfzilen,delfzeil
de growe,grou
dennigrip,dronrijp
dewilp, De Wilp
delf,delft
durninu,deurne
durninum,deurne
durna,deurne
doerne,deurne
dockinga,dokkum
dauentre,deventer
de runa,ruinerwold
de pezie,peize
denoever, den oever
deventeri,deventer
domelle,dommelen
drieberghe,driebergen
dijkhuizen,eemdijk
dwarsefeld,varsseveld
ecberghe,eibergene
emne,emmen
emminckhuizen,emminkhuizen
falckenberch,valkenburg
foldenheim,foudgum
fokeswolde,foxwolde
foranholte,voorhout
fronakre,franeker
genemuden,genemuiden
ghesterne,geesteren
gethorne,giethoorn
gerwerskoop,gerverscop
gholthorne,goldhoorn
grammesberghe,gramsbergen
gronlo,groenlo
gron,groningen
gron.,groningen
grunn,groningen
grunnen,groningen
grins,groningen
grypskercke,grijpskerk
gunsela,woensel
hockesberghe,haaksbergen
haarlooheim,haarlem
haerlem,haarlem
henkeningwerue,hannekenswerve
hankinwerva,hannekenswerve
hellenwich,heelweg
hederike,herike
hyllenkem,hillegom
hilfercem,hilversum
holeuurt,holwert
hoerne,hoorn
haltna,houten
hentheren,enter
haga,den Haag
irminlo,ermelo
loersche vaert,etten-leur
islemuthen,ijsselmuiden
kesselo,kessel
liouwert, ljouwert
liunvero,leeuwarden
linward,leeuwarden
lintarwde,leeuwarden
leithen,leiden
leyden,leiden
lienden,liempde
leymden,liempde
loppesheim,loppersum
ludifax,jutphaas
mappele,meppel
maeslandtsluis,maassluis
mastreit,maastricht
marclo,markelo
muonsterglene,munstergeleen
naruthi,naarden
naardinck,naarden
naeardinck,naarden
neder enck,naarden
nethorpe,niedorp
noviomagus,nijmegen
numaga,nijmegen
ostforne,oostvoorne
petersburen,pieterburen
pulmeri,purmerend
puthem,putten
quirnifurt,cornwerd
risnen,rijssen
rosmella,rosmalen
rosmael,rosmalen
sconebek,schonebeek
senieda,scheemda
sgravenhage,gravenhage
sneke,sneek
steenwijc,steenwijk
soltcampum,zoutkamp
steninge,stiens
stochem,stokkum
schiermoog,schiermonnikoog
suifterbant,swifterbant
suthwalda,zuidwolde
surhustera feen,surhuisterveen`
sydeberch,sibbeuren
swolle,zwolle
subenhara,zevenaar
tinaarlo,tynaarlo
tilliburgis,tilburg
tilborg,tilburg
treiectinsem,maastricht
traiectensis,maastricht
traiectum,utrecht
trecht,utrecht
Thelden,delden
thurne,deurne
ultraitectum,utrecht
umme,ommen
utwic,uitwijk
vachenburg,valkenburg
vene,amstelveen
versnevelde,varsseveld
venedael,veenendaal
vechele,veghel
vlachtwede,vlagtwedde
vrachel,vrachelen
vroedenhout,vroenhout
uthuson,uithuizen
wedert,valkenswaard
wazovelde,varsseveld
waetriloe,waalre
werfhem,warffum
werta,weert
wertha,weert
wesheim,wessem
wishem,wessem
wederden,wierden
winsewida,winschoten
wiltenburg,utrecht
wonsela,woensel
wunsdrech,woensdrecht
zaelberch,zeelberg
zutfen,zutphen
zdbarge, zuidbarge
